- 컬럼명 -
FIFTH_FRTP_CD

코드값	코드명		설명
C	침엽수림		침엽수(혼효림)의 수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
H	활엽수림		활엽수(혼효림)의 수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
M	침활혼효림	침엽수와 활엽수의 수관 점유면적 또는 입목본수 비율이 각각 25% 이상, 75% 미만인 임분
D	소나무림		수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
PD	소나무 인공림	수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
PK	잣나무림		수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
PL	낙엽송림		수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
PR	리기다소나무림	수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
Q	참나무림		수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
PQ	참나무인공림	수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
Po	포푸라림		수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
Ca	밤나무림		수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
Cr	삼나무림		수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
Co	편백나무림	수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
Ab	전나무		수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
Pc	침염수 인공림	수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
PH	활엽수 인공림	수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
B	죽림		수관 점유면적 또는 입목본수 비율이 75% 이상인 임분
F	별채적지		일시적으로 입목이 제거된 곳
O	이립목지		지피와 수관의 총 피복도가 50% 이상인 임지
E	황폐지		지피와 수관의 총 피복도가 50% 이상인 임지 (단, 침계가 발달한 곳은 60% 이하)
LP	목장		초지(목장)
L	경작지		과수원, 기타 농경부지, 묘포장 등이 임지내에 있는 농용지역
R	제지		도로,암석지,묘지 및 군사시설 부지 등 임목육성에 쓰이지 않는 임지
W	수체		하천, 수택지 또는 수면
Dn	임간나지		임목지로서 지피와 수관의 총 피복도가 50% 이하이고 침식이 진행되고 있는 임지
99	해당없음		비산림, 해양
