unit,year,address,alias,device,authority,latitude,longitude
영주,2014-01-01,문경시 가은읍 완장리 산75-1,대야산 등산로,밀착형,서부청,36.6694133,127.9444362
영주,2014-01-01,봉화군 물야면 오전리 산1,늦은목이 등산로,밀착형,서부청,37.0255015,128.7347825
영주,2014-01-01,봉화군 물야면 오전리 산1,박달령 등산로,밀착형,서부청,37.0255015,128.7347825
영주,2014-01-01,봉화군 춘양면 우구치리 산1-1,도래기재 임도,밀착형,서부청,37.0396503,128.7742831
영주,2014-01-01,봉화군 소천면 고선리 산37,구마동 임도,밀착형,서부청,37.0060873,128.9653695
영주,2014-01-01,봉화군 소천면 분천리 산199,다락재 임도,밀착형,서부청,36.9429301,129.073145
울진,2015-01-01,울진군 금강송면 소광리 산11,대왕소나무,밀착형,서부청,36.9970233,129.2118413
울진,2015-01-01,울진군 원남면 갈면리 산14,고초령 삼거리,밀착형,서부청,36.8756998,129.3455172
울진,2015-01-01,울진군 온정면 조금리 산118,조금 임도입구,밀착형,서부청,36.6779463,129.3070074
울진,2015-01-01,울진군 온정면 온정리 산1-8,백암산 초소,밀착형,서부청,36.716882,129.3128483
울진,2015-01-01,울진군 북면 덕구리 산58,응봉산 덕구 초소,밀착형,서부청,37.0795831,129.2785197
영주,2003-01-01,봉화군 춘양면 서벽리 산283-3,문수산,조망형,서부청,36.9932905,128.8105968
영주,2003-01-01,봉화군 소천면 현동리 산103,큰재,조망형,서부청,36.8033447,128.9855383
영주,2010-01-01,봉화군 석포면 대현리 산13-1,청옥산(열),조망형,서부청,37.0607697,128.9797367
영주,2010-01-01,봉화군 소천면 남회룡리 산51-1,장군봉,조망형,서부청,36.86602500000001,129.1136681
영주,2010-01-01,안동시 길안면 금곡리 산85-2,황학산,조망형,서부청,36.3735773,128.8795096
영주,2011-01-01,봉화군 석포면 석포리 138-24,석개재,조망형,서부청,37.0535287,129.1009802
영주,2011-01-01,봉화군 석포면 승부리 산477,승부역(열),조망형,서부청,37.0131266,129.070935
영주,2011-01-01,문경시 농암면 궁기리 305,궁기마을,조망형,서부청,36.6150859,127.9579138
영주,2013-01-01,안동시 풍천면 어담리 산52-1,삼표당(열),조망형,서부청,36.4679911,128.5791515
영주,2013-01-01,예천군 상리면 백석리 산111,소백산,조망형,서부청,36.7919321,128.4514131
영주,2013-01-01,영주시 부석면 노곡리 산29-6,소백산,조망형,서부청,36.9759821,128.649634
영덕,2000-01-01,영덕군 축산면 화천리 산118-1,국사당산,조망형,서부청,36.472822,129.3330852
영덕,2000-01-01,영덕군 창수면 신기리 산180-1,형제봉,조망형,서부청,36.5455743,129.2909435
영덕,2004-01-01,영양군 석보면 삼의리 산37,맹동산,조망형,서부청,36.5197092,129.228771
영덕,2004-01-01,영덕군 창수면 창수리 산10-6,독경산,조망형,서부청,36.6196821,129.2444282
영덕,2012-01-01,영양군 수비면 신원리 산23,울련산,조망형,서부청,36.7689431,129.2455127
영덕,2012-01-01,영양군 수비면 죽파리 산39-2,오십봉,조망형,서부청,36.7160093,129.2585297
구미,2011-01-01,김천시 남면 부상리 산78-1,단지봉(열),조망형,서부청,36.0751432,128.2594188
구미,2011-01-01,김천시 증산면 황점리 79,갈령(열),조망형,서부청,35.8454994,128.057597
구미,2011-01-01,상주시 화북면 상오리 산20,금오산,조망형,서부청,36.5155839,127.9378325
구미,2012-01-01,김천시 증산면 수도리 산464,수도산(열),조망형,서부청,35.8542261,128.0091144
구미,2012-01-01,청도군 운문면 신원리 산29-6,지룡산(열),조망형,서부청,35.6547744,129.0063166
울진,2001-01-01,울진군 북면 두천리 산72-1,아구산,조망형,서부청,37.0071258,129.27047
울진,2001-01-01,울진군 서면 왕피리 산1-1,천축산,조망형,서부청,36.886591,129.2631886
울진,2003-01-01,울진군 서면 소광리 산157,진조산,조망형,서부청,36.9970233,129.2118413
울진,2003-01-01,울진군 서면 쌍전리 산150-1,통고산,조망형,서부청,36.9410523,129.1777264
울진,2011-01-01,울진군 서면 소광리 산29,삿갓재,조망형,서부청,36.9970233,129.2118413
울진,2011-01-01,울진군 기성면 이평리 산34,가재미산,조망형,서부청,36.8113423,129.3622903
