본부명,소방서,주소,latitude,longitude
서울소방재난본부,강남소방서,서울특별시 강남구 테헤란로 629 (삼성동),37.5103818,127.066797
서울소방재난본부,강동소방서,서울특별시 강동구 성내로 39 (성내동),37.529455,127.1250754
서울소방재난본부,강북소방서,서울특별시 강북구 한천로 911 (번동),37.6334146,127.0375183
서울소방재난본부,강서소방서,서울특별시 강서구 양천로 550 (등촌동),37.5575223,126.8559611
서울소방재난본부,관악소방서,서울특별시 관악구 관악로 97 (봉천동),37.4738337,126.9525326
서울소방재난본부,광진소방서,서울특별시 광진구 광나루로 480 (구의동),37.5448313,127.0828431
서울소방재난본부,구로소방서,서울특별시 구로구 경인로 408 (고척동),37.5031884,126.858851
서울소방재난본부,금천소방서,서울특별시 금천구 시흥대로 342(독산동),37.4642871,126.8980264
서울소방재난본부,노원소방서,서울특별시 노원구 한글비석로 1길 8 (하계동),37.6382518,127.0710726
서울소방재난본부,도봉소방서,서울특별시 도봉구 도봉로 666 (방학동),37.6632683,127.0330156
서울소방재난본부,동대문소방서,서울특별시 동대문구 장한로 34 (장안동),37.5640224,127.0668375
서울소방재난본부,동작소방서,서울특별시 동작구 여의대방로16길 55 (신대방동),37.5130877,126.9311525
서울소방재난본부,마포소방서,서울특별시 마포구 창전로 76 (신수동),37.5493546,126.933186
서울소방재난본부,서대문소방서,서울특별시 서대문구 연희로 182 (연희동),37.5732213,126.9360838
서울소방재난본부,서초소방서,서울특별시 서초구 사평대로 67 (반포동),37.4985959,126.9919184
서울소방재난본부,성동소방서,서울특별시 성동구 살곶이길 331(행당동),37.5540548,127.0396397
서울소방재난본부,성북소방서,서울특별시 성북구 종암로 27길 3 (종암동),37.6024354,127.031799
서울소방재난본부,송파소방서,서울특별시 송파구 오금로51길 56 (마천동),37.5018414,127.1494222
서울소방재난본부,양천소방서,서울특별시 양천구 목동서로 180 (목동),37.5302246,126.8722418
서울소방재난본부,영등포소방서,서울특별시 영등포구 문래로 197 (영등포동4가),37.5178903,126.9035759
서울소방재난본부,용산소방서,서울특별시 용산구 한강대로 167 (한강로2가),37.5310939,126.9682409
서울소방재난본부,은평소방서,서울특별시 은평구 통일로 962 (진관동),37.6287323,126.92009
서울소방재난본부,종로소방서,서울특별시 종로구 율곡로 78(운니동),37.5757032,126.9885802
서울소방재난본부,중랑소방서,서울특별시 중랑구 신내로 183 (신내동),37.6152055,127.0949931
서울소방재난본부,중부소방서,서울특별시 중구 퇴계로 394(무학동),37.5643739,127.0152873
부산소방재난본부,강서소방서,부산광역시 강서구 녹산산단361로 9(송정동),35.0896096,128.856755
부산소방재난본부,금정소방서,부산광역시 금정구 중앙대로 1789(부곡동),35.2439972,129.0926766
부산소방재난본부,기장소방서,부산광역시 기장군 정관읍 용수로 7(정관읍),35.3247171,129.1799406
부산소방재난본부,남부소방서,부산광역시 수영구 광일로 64(광안동),35.1631708,129.1072203
